"sifra";"podsifra";"skola";"ime_ravnatelja";"prezime_ravnatelja"
"01-160-001";"0-0";Osnovna škola Vladimir Deščak;Ivica;Pavlić
"02-040-501";"0-0";Srednja škola Krapina;Ivica;Rozijan
"16-111-502";"0-0";Gimnazija Županja;Ivica;Živković
"21-114-507";"0-0";VII. gimnazija;Ivka;Nevistić
"01-157-001";"0-0";Osnovna škola Klinča Sela;Ivo;Karača
"14-022-002";"0-0";Osnovna škola Ivan Goran Kovačić;Ante;Andabak
"18-069-509";"0-0";Strukovna škola Pula;Ivo;Bebek
"17-057-002";"0-0";Osnovna škola 1. listopada 1942.;Ivan;Sladojević
"14-060-021";"0-0";Prosvjetno-kulturni centar Mađara u Republici Hrvatskoj;Janoš;Andoči
"14-390-001";"0-0";Osnovna škola Darda;Janoš;Boni
"05-086-501";"0-0";Prva gimnazija Varaždin;Janja;Banić
"17-126-509";"0-0";V. gimnazija Vladimir Nazor Split;Ankica;Kovač
"17-083-501";"0-0";Srednja škola Ivana Lucića - Trogir;Jakša;Geić
"02-110-001";"0-0";Osnovna škola Zlatar Bistrica;Jasna;Kokot Pelko
"08-289-001";"0-0";Osnovna škola Ivanke Trohar;Jasna;Štimac
"07-265-001";"0-0";Češka osnovna škola Josipa Ružičke Končanica - Česká základní škola Josefa Růžičky Končenice;Jaromir;Vrabec
"21-114-052";"0-0";Osnovna škola bana Josipa Jelačića;Jelena;Ivaci
"07-004-005";"0-0";V.osnovna škola                                                           ;Jasmina;Vuković
"04-034-507";"0-0";Medicinska škola;Jasminka;Štajcer
"01-539-001";"0-0";Osnovna škola Ante Kovačića;Jasna;Horvat
"17-126-513";"0-0";Srednja tehnička prometna škola;Josip;Balić
"08-281-001";"0-0";Osnovna škola Sveti Matej;Josip;Crnić
"16-428-001";"0-0";Osnovna škola Matija Gubec;Jasna;Varga
"08-292-501";"0-0";Srednja škola Ambroza Haračića;Jelena;Bralić
"08-280-001";"0-0";Osnovna škola Klana;Jelena;Grbčić Samardžić
"16-088-506";"0-0";Drvodjelska tehnička škola;Josip;Jovanovac
"12-335-001";"0-0";Osnovna škola Sibinjskih žrtava;Josip;Šišmanović
"16-088-508";"0-0";Zdravstvena i veterinarska škola dr. Andrije Štampara Vinkovci;Josip;Šuker
"17-126-011";"0-0";Osnovna škola Trstenik;Antonela;Petrić
"04-034-001";"0-0";Osnovna škola Banija;Antonija;Mastelić Milanović
"03-054-001";"0-0";Osnovna škola Novska;Antonija;Mirosavljević
"17-075-504";"0-0";Franjevačka klasična gimnazija u Sinju s pravom javnosti;Josko;Kodžoman
